# Baseline: 2026-07-21T18:49:25+02:00 GCC_OPT=-O2 TCC=8c18fcc0
test,function,tcc_O2,gcc_-O2
bug/bug_bitfield_packed10,main,156,105
bug/bug_cbz_far_zero_branch,main,30,15
bug/bug_chained_assign_store_off0,main,21,14
bug/bug_chained_assign_store_off0,make,7,5
bug/bug_chained_assign_store_off0,use,2,2
bug/bug_chained_assign_store_off0,victim,6,5
bug/bug_cmp_eq_loop_header_entry,cmp,47,28
bug/bug_cmp_eq_loop_header_entry,main,43,41
bug/bug_cmp_ptr_array_alias,main,51,33
bug/bug_dead_loop_assign_overlap,main,40,50
bug/bug_funcptr_fifth_arg,call_fifth,13,9
bug/bug_funcptr_fifth_arg,fix,55,58
bug/bug_funcptr_fifth_arg,main,52,36
bug/bug_funcptr_fifth_arg,my_cmp,11,10
bug/bug_gnu_ternary_elvis,main,11,11
bug/bug_gnu_ternary_elvis,test1_local_elvis,22,13
bug/bug_gnu_ternary_elvis,test2_global_null,61,33
bug/bug_gnu_ternary_elvis,test3_global_nonnull,63,34
bug/bug_gnu_ternary_elvis,test4_install_null,64,43
bug/bug_gnu_ternary_elvis,test5_three_args,63,34
bug/bug_gnu_ternary_elvis,test6_used_in_call,61,33
bug/bug_gnu_ternary_elvis,test7_chained,4,12
bug/bug_gnu_ternary_elvis,test8_loop,72,35
bug/bug_ivsr_struct_compact,main,11,10
bug/bug_ivsr_struct_compact,sink,16,14
bug/bug_mla64_non_inplace,main,35,8
bug/bug_packed10_array,check_int,22,16
bug/bug_packed10_array,check_u32,22,16
bug/bug_packed10_array,get_tag,13,6
bug/bug_packed10_array,main,589,311
bug/bug_packed10_array,make_imm32,19,19
bug/bug_packed10_array,make_symref,19,19
bug/bug_packed_sizes,main,361,320
bug/bug_param_clobber_large_frame,format_with_prefix,35,38
bug/bug_param_clobber_large_frame,main,21,20
bug/bug_param_spill_fp_off0,inner,19,8
bug/bug_param_spill_fp_off0,main,34,6
bug/bug_param_spill_fp_off0,outer,28,3
bug/bug_param_spill_fp_off0,sink,15,13
bug/bug_postinc_spilled_ptr,main,31,78
bug/bug_postinc_store,main,152,108
bug/bug_postinc_store,test_parse_number_pattern,38,20
bug/bug_stride10,main,132,83
bug/bug_stride_minimal,main,32,32
bug/bug_stride_minimal,read_a,4,3
bug/bug_switch_bitfield,btype_name,33,4
bug/bug_switch_bitfield,main,33,12
bug/bug_switch_char_sparse,classify,53,25
bug/bug_switch_char_sparse,main,39,39
bug/bug_switch_default_chain,main,22,5
bug/bug_switch_goto_or,main,69,46
bug/bug_switch_load_spill,main,34,6
bug/bug_ternary_switch,main,39,39
bug/bug_ternary_switch,test,78,57
bug/bug_variant_stride,main,19,146
bug/test_float_math_loop,bench_float_math,47,53
bug/test_float_math_loop,main,63,21
bug/test_float_simple_calc,main,148,147
bug/test_tcc_i64_ir_bug,main,27,26
bug/test_tcc_i64_ir_bug,test_i64_cast,2,2
bug/test_tcc_i64_ir_bug,test_i64_mul,2,2
bug/test_tcc_i64_ir_bug,test_i64_return,4,4
bug/test_tcc_i64_ir_bug,test_ul_constant,6,6
bug/test_tcc_volatile_reg,direct_reg_access,4,5
bug/test_tcc_volatile_reg,enable_cycle_counter_bug,12,10
bug/test_tcc_volatile_reg,main,48,45
bug/test_tcc_volatile_reg,read_cyccnt,3,3
float/107_stack_safe,main,26,12
float/109_float_struct_calling,foo,6,9
float/109_float_struct_calling,main,25,7
float/110_average,main,23,11
float/111_conversion,conv,7,6
float/111_conversion,main,17,6
float/121_struct_return,dummy,1,4
float/121_struct_return,init,31,20
float/121_struct_return,main,36,24
float/121_struct_return,print_data,28,20
float/131_return_struct_in_reg,f1,28,3
float/131_return_struct_in_reg,f16,31,14
float/131_return_struct_in_reg,f2,28,11
float/131_return_struct_in_reg,f4,23,11
float/131_return_struct_in_reg,f8,31,12
